section,subsection,city,firm_name,address,codes,is_new_firm,canvas_fragment,image
Breweries,Alabama,Birmingham,Alabama Br'g Co,,L B-E 6,False,"https://iiif.nypl.org/iiif/3/5128861/full/!760,760/0/default.jpg#xywh=271,2162,1787,66",0017_5128861.jpg
Breweries,Alabama,Birmingham,"Schillinger, Philip Br'g Co.",,L B-D 7,False,"https://iiif.nypl.org/iiif/3/5128861/full/!760,760/0/default.jpg#xywh=650,2243,1408,61",0017_5128861.jpg
Breweries,Alabama,Mobile,Mobile Brewery,,L B-C 10,False,"https://iiif.nypl.org/iiif/3/5128861/full/!760,760/0/default.jpg#xywh=271,2321,1792,60",0017_5128861.jpg
Breweries,Alabama,Montgomery,Montgomery Brewery,,L B-D 4,False,"https://iiif.nypl.org/iiif/3/5128861/full/!760,760/0/default.jpg#xywh=271,2400,1789,61",0017_5128861.jpg
Breweries,Alaska,Douglas City,"Kruzner, John",,L-E 6,False,"https://iiif.nypl.org/iiif/3/5128861/full/!760,760/0/default.jpg#xywh=271,2585,1785,58",0017_5128861.jpg
Breweries,Alaska,Dyea,Alaska Brewing Co,,L-E 6,False,"https://iiif.nypl.org/iiif/3/5128861/full/!760,760/0/default.jpg#xywh=269,2661,1789,64",0017_5128861.jpg
Breweries,Alaska,Dyea,"Rice, Geo. L. & Co",,L-E 6,False,"https://iiif.nypl.org/iiif/3/5128861/full/!760,760/0/default.jpg#xywh=441,2742,1615,61",0017_5128861.jpg
Breweries,Alaska,Fort Wrangel,"Bretter, Aug",,L-E 6,False,"https://iiif.nypl.org/iiif/3/5128861/full/!760,760/0/default.jpg#xywh=269,2818,1789,64",0017_5128861.jpg
Breweries,Alaska,Fort Wrangel,Eureka Brewing Co,,L-E 6,False,"https://iiif.nypl.org/iiif/3/5128861/full/!760,760/0/default.jpg#xywh=690,2893,1366,71",0017_5128861.jpg
Breweries,Alaska,Fort Wrangel,"Greif, Bruno",,L B-E 6,False,"https://iiif.nypl.org/iiif/3/5128861/full/!760,760/0/default.jpg#xywh=690,2977,1366,60",0017_5128861.jpg
Breweries,Alaska,Juneau,"Cohen, Marcus J",,L-E 5,False,"https://iiif.nypl.org/iiif/3/5128861/full/!760,760/0/default.jpg#xywh=267,3050,1787,64",0017_5128861.jpg
Breweries,Alaska,Juneau,"Gray, John F. & Co",,L-E 4,False,"https://iiif.nypl.org/iiif/3/5128861/full/!760,760/0/default.jpg#xywh=357,3136,45,34",0017_5128861.jpg
Breweries,Alaska,Sitka,"Witz, Robert",,L-E 6,False,"https://iiif.nypl.org/iiif/3/5128861/full/!760,760/0/default.jpg#xywh=271,3211,1785,58",0017_5128861.jpg
Breweries,Alaska,Skaguay,Arctic Brewing Association.,,L-E 6,False,"https://iiif.nypl.org/iiif/3/5128861/full/!760,760/0/default.jpg#xywh=271,3289,1785,60",0017_5128861.jpg
Breweries,Alaska,Skaguay,"Saake, Charles D",,L-E 5,False,"https://iiif.nypl.org/iiif/3/5128861/full/!760,760/0/default.jpg#xywh=493,3366,1559,60",0017_5128861.jpg
Breweries,Alaska,Skaguay,Skaguay Brewing Co,,L-E 6,False,"https://iiif.nypl.org/iiif/3/5128861/full/!760,760/0/default.jpg#xywh=366,3443,1686,63",0017_5128861.jpg
Breweries,Alaska,Sum Sum,"Peier, Anton",,L-E 6,False,"https://iiif.nypl.org/iiif/3/5128861/full/!760,760/0/default.jpg#xywh=267,3519,1785,64",0017_5128861.jpg
