state,city,business_name,address,product_codes,is_malt_house,is_new_listing,category,canvas_fragment,image
ALABAMA,Birmingham,"Schillinger, Phil., Brewing Co.",,L B,False,False,None,"https://iiif.nypl.org/iiif/3/5131894/full/!760,760/0/default.jpg#xywh=938,2652,421,48",0007_5131894.jpg
ALABAMA,Montgomery,Montgomery Brewery,Hull st.,L B,False,False,None,"https://iiif.nypl.org/iiif/3/5131894/full/!760,760/0/default.jpg#xywh=938,2652,421,48",0007_5131894.jpg
ALABAMA,Birmingham,Alabama Brewing Co.,22d st. and ave. D,L B,False,False,None,"https://iiif.nypl.org/iiif/3/5131894/full/!760,760/0/default.jpg#xywh=938,2652,421,48",0007_5131894.jpg
ALABAMA,Mobile,Bienville Brewery,St. Joseph and Bloodgood sts.,L B,False,False,None,"https://iiif.nypl.org/iiif/3/5131894/full/!760,760/0/default.jpg#xywh=938,2652,421,48",0007_5131894.jpg
ALABAMA,Mobile,Mobile Brewery,Adams and Water sts,L B,False,False,None,"https://iiif.nypl.org/iiif/3/5131894/full/!760,760/0/default.jpg#xywh=938,2652,421,48",0007_5131894.jpg
ALASKA,Douglas City,Douglas City Brewing Co,,LB,False,True,Breweries,"https://iiif.nypl.org/iiif/3/5131895/full/!760,760/0/default.jpg#xywh=621,300,39,31",0008_5131895.jpg
ALASKA,Douglas City,"Rice, Geo. L., & Co",,L,False,False,Breweries,"https://iiif.nypl.org/iiif/3/5131895/full/!760,760/0/default.jpg#xywh=621,300,39,31",0008_5131895.jpg
ALASKA,Eagle City,Eagle Brewing Co,,L,False,True,Breweries,"https://iiif.nypl.org/iiif/3/5131895/full/!760,760/0/default.jpg#xywh=621,300,39,31",0008_5131895.jpg
ALASKA,Fort Wrangel,"Bretter, August",,L,False,False,Breweries,"https://iiif.nypl.org/iiif/3/5131895/full/!760,760/0/default.jpg#xywh=621,300,39,31",0008_5131895.jpg
ALASKA,Juneau,Alaska Brewing & Malting Co,,L,True,False,Breweries,"https://iiif.nypl.org/iiif/3/5131895/full/!760,760/0/default.jpg#xywh=621,300,39,31",0008_5131895.jpg
ARIZONA,Fort Huachuca,"Joerger, Frank",,L,False,False,Breweries,"https://iiif.nypl.org/iiif/3/5131895/full/!760,760/0/default.jpg#xywh=610,734,1521,121",0008_5131895.jpg
ARIZONA,Globe,"Banker, Chas",,LB,True,False,Breweries,"https://iiif.nypl.org/iiif/3/5131895/full/!760,760/0/default.jpg#xywh=610,734,1521,121",0008_5131895.jpg
ARKANSAS,Little Rock,Little Rock Brewing & Ice Co.,2d and Bird sts.,LB,False,False,Breweries,"https://iiif.nypl.org/iiif/3/5131895/full/!760,760/0/default.jpg#xywh=2330,986,67,37",0008_5131895.jpg
CALIFORNIA,Alameda,"Schuler, Lorenz",Central avenue,ALB,False,False,Breweries,"https://iiif.nypl.org/iiif/3/5131895/full/!760,760/0/default.jpg#xywh=2333,1546,64,43",0008_5131895.jpg
CALIFORNIA,Alturas,"Dannhauser, Joseph",,L,True,False,Breweries,"https://iiif.nypl.org/iiif/3/5131895/full/!760,760/0/default.jpg#xywh=2333,1546,64,43",0008_5131895.jpg
CALIFORNIA,Anaheim,"Conrad, Fred",,L,True,False,Breweries,"https://iiif.nypl.org/iiif/3/5131895/full/!760,760/0/default.jpg#xywh=2333,1546,64,43",0008_5131895.jpg
