state,city,business_name,address,product_codes,is_malt_house,is_new_listing,canvas_fragment,image
CALIFORNIA,San Francisco,Acme Brewing Co.,1401 Sansom st.,L B,False,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=186,470,1530,58",0007_5131372.jpg
CALIFORNIA,San Francisco,Albion Ale & Porter Brewery,9th ave. and G st,A B,False,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=516,522,1106,48",0007_5131372.jpg
CALIFORNIA,San Francisco,Anchor Brewing Co.,Hampshire and 18th sts,L,False,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=516,614,1110,50",0007_5131372.jpg
CALIFORNIA,San Francisco,"Broadway Brewing Co., Inc.",Treat ave. and 19th st.,L,False,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=516,700,1112,60",0007_5131372.jpg
CALIFORNIA,San Francisco,"California Brewing Co., Inc.",121 Douglas street.,L,False,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=516,804,1112,48",0007_5131372.jpg
CALIFORNIA,San Francisco,"Eagle Brewing Co., Inc.",2213 Harrison street.,L,False,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=518,896,1110,52",0007_5131372.jpg
CALIFORNIA,San Francisco,"Enterprise Brewing Co., Inc.",2019 Folsom st.,A L B,False,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=520,988,1104,54",0007_5131372.jpg
CALIFORNIA,San Francisco,Hagemann Brewing Co.,860 Waller street.,A L,True,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=522,1080,1106,56",0007_5131372.jpg
CALIFORNIA,San Francisco,"Jackson Brewing Co., Inc.",11th and Folsom streets.,L,True,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=686,1168,942,66",0007_5131372.jpg
CALIFORNIA,San Francisco,"Milwaukee Brewery of San Francisco, Inc.",468 10th st,L B,False,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=522,1270,1104,50",0007_5131372.jpg
CALIFORNIA,San Francisco,"National Brewing Co., Inc.",722 Fulton street,L B,True,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=704,1368,924,48",0007_5131372.jpg
CALIFORNIA,San Francisco,"North Star Brewing Co., Inc.",3310 Army street,A L B,False,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=718,1458,910,52",0007_5131372.jpg
CALIFORNIA,San Francisco,"Nunan, Matthew",1241 Howard street.,A L,True,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=700,1550,936,52",0007_5131372.jpg
CALIFORNIA,San Francisco,"San Francisco Breweries, Limited - Wieland, John, Brewery",240 2d street.,A L B,False,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=186,470,1530,58",0007_5131372.jpg
CALIFORNIA,San Francisco,"Schwarz, Jos., Brewing Co.",420 Chestnut street.,L W B,False,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=726,1934,998,100",0007_5131372.jpg
CALIFORNIA,San Francisco,Union Brewing & Malting Co.,18th and Florida sts,L B,True,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=532,2028,1104,52",0007_5131372.jpg
CALIFORNIA,San Francisco,"Wreden, Claus, Brewing Co., Inc.",723 Lombard st,L B,True,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=674,2130,962,44",0007_5131372.jpg
CALIFORNIA,San Jose,"Eagle Brewery, Inc.",Market and San Carlos sts,L B,True,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=202,2220,1434,50",0007_5131372.jpg
CALIFORNIA,San Jose,Fredericksburg Brewing Co.,Cinnabar st. and the Alameda.,,False,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=730,2310,906,54",0007_5131372.jpg
CALIFORNIA,San Jose,Garden City Brewing Co.,4th and Williams streets,L,False,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=742,2454,894,48",0007_5131372.jpg
CALIFORNIA,San Jose,"Iida, K., & Co.",569 East Taylor st,L,False,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=732,2542,1000,58",0007_5131372.jpg
CALIFORNIA,San Rafael,"San Rafael Brewery, Inc.",7 Greenwood ave,L B,False,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=204,2596,1442,48",0007_5131372.jpg
CALIFORNIA,Santa Clara,"Lauck, George, Brewing Co. (Louis Klein, Prop.)",Alviso and Benton streets,L B,False,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=206,2674,1440,68",0007_5131372.jpg
CALIFORNIA,Santa Cruz,Santa Cruz Brewing Co.,Market street.,A L B,True,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=1552,2788,182,30",0007_5131372.jpg
CALIFORNIA,Santa Rosa,Grace Bros. Brewing Co.,118 Second st,A L B,True,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=202,2866,1538,170",0007_5131372.jpg
CALIFORNIA,Sonoma,"Sonoma Brewing Co., Inc.",,L,False,False,"https://iiif.nypl.org/iiif/3/5131372/full/!760,760/0/default.jpg#xywh=210,3012,1524,56",0007_5131372.jpg
CALIFORNIA,Stockton,El Dorado Brewing Co.,Park and American sts,A L B,True,False,"https://iiif.nypl.org/iiif/3/5131373/full/!760,760/0/default.jpg#xywh=664,548,1420,60",0008_5131373.jpg
CALIFORNIA,Susanville,"Kroeger, Joachim",,L,False,False,"https://iiif.nypl.org/iiif/3/5131373/full/!760,760/0/default.jpg#xywh=676,636,1504,60",0008_5131373.jpg
CALIFORNIA,Sutter Creek,Mosey & Williams,,L B,False,False,"https://iiif.nypl.org/iiif/3/5131373/full/!760,760/0/default.jpg#xywh=672,682,1510,66",0008_5131373.jpg
CALIFORNIA,Ukiah,"Ukiah Brewing & Ice Co., Inc",,L B,False,False,"https://iiif.nypl.org/iiif/3/5131373/full/!760,760/0/default.jpg#xywh=668,730,1516,114",0008_5131373.jpg
CALIFORNIA,Vallejo,Solano Brewing Co.,514 Marin st,L,True,False,"https://iiif.nypl.org/iiif/3/5131373/full/!760,760/0/default.jpg#xywh=668,824,1514,108",0008_5131373.jpg
CALIFORNIA,Watsonville,"Graf, Albert",,L,False,False,"https://iiif.nypl.org/iiif/3/5131373/full/!760,760/0/default.jpg#xywh=2348,816,50,50",0008_5131373.jpg
CALIFORNIA,Watsonville,"Palmtag, William F. (Acme Distributing Co., Lessee)",,L,True,False,"https://iiif.nypl.org/iiif/3/5131373/full/!760,760/0/default.jpg#xywh=2348,868,50,40",0008_5131373.jpg
CALIFORNIA,Weaverville,Meckel Bros,,L B,True,False,"https://iiif.nypl.org/iiif/3/5131373/full/!760,760/0/default.jpg#xywh=674,968,1510,54",0008_5131373.jpg
CALIFORNIA,West Berkeley,Golden West Brewing Co.,,L B,False,False,"https://iiif.nypl.org/iiif/3/5131373/full/!760,760/0/default.jpg#xywh=674,1008,1512,64",0008_5131373.jpg
CALIFORNIA,Woodland,"Goeppert, Geo., & Co",,L,False,False,"https://iiif.nypl.org/iiif/3/5131373/full/!760,760/0/default.jpg#xywh=674,1060,1506,52",0008_5131373.jpg
COLORADO,Denver,Capitol Brewing Co.,3701 Wazee street,L B,False,False,"https://iiif.nypl.org/iiif/3/5131373/full/!760,760/0/default.jpg#xywh=678,1220,1422,58",0008_5131373.jpg
COLORADO,Denver,Neef Bros. Brewing Co.,1201 Quiva st,L B,True,False,"https://iiif.nypl.org/iiif/3/5131373/full/!760,760/0/default.jpg#xywh=2342,536,56,40",0008_5131373.jpg
COLORADO,Denver,Tivoli-Union Brewing Co.,1342 Tenth st,A L B,True,False,"https://iiif.nypl.org/iiif/3/5131373/full/!760,760/0/default.jpg#xywh=750,1404,1350,58",0008_5131373.jpg
COLORADO,Denver,"Zang, Phil., Brewing Co.",7th and Water sts,L B,True,False,"https://iiif.nypl.org/iiif/3/5131373/full/!760,760/0/default.jpg#xywh=678,1220,1422,58",0008_5131373.jpg
COLORADO,Glenwood Springs,Home Brewing Co,,L B,False,False,"https://iiif.nypl.org/iiif/3/5131373/full/!760,760/0/default.jpg#xywh=682,1584,1550,114",0008_5131373.jpg
COLORADO,Golden,"Coors, Adolph, Brewing & Mfg. Co., Inc",,A L B,True,False,"https://iiif.nypl.org/iiif/3/5131373/full/!760,760/0/default.jpg#xywh=674,1008,1512,64",0008_5131373.jpg
COLORADO,Leadville,Colorado Columbine Brewing Co.,103 Harrison ave,L B,False,False,"https://iiif.nypl.org/iiif/3/5131373/full/!760,760/0/default.jpg#xywh=2364,1724,34,48",0008_5131373.jpg
COLORADO,Pueblo,Walter Brewing Co,,L B,False,False,"https://iiif.nypl.org/iiif/3/5131373/full/!760,760/0/default.jpg#xywh=682,1810,1516,72",0008_5131373.jpg
COLORADO,Silverton,"Faden, Charles",,L B,False,False,"https://iiif.nypl.org/iiif/3/5131373/full/!760,760/0/default.jpg#xywh=682,1856,1514,76",0008_5131373.jpg
COLORADO,Telluride,Wickmann & Layershausen,,L,False,False,"https://iiif.nypl.org/iiif/3/5131373/full/!760,760/0/default.jpg",0008_5131373.jpg
COLORADO,Trinidad,Pells Brewing & Ice Co.,Arapahoe st,A L B,True,False,"https://iiif.nypl.org/iiif/3/5131373/full/!760,760/0/default.jpg#xywh=682,1914,1512,106",0008_5131373.jpg
COLORADO,Trinidad,"Schneider, Ph., Brewing. Co.",Plum and Convent sts,L B,False,False,"https://iiif.nypl.org/iiif/3/5131373/full/!760,760/0/default.jpg#xywh=682,1914,1512,106",0008_5131373.jpg
CONNECTICUT,Bridgeport,"Blakeslee, Edw.",212 Wallace st,W B,False,False,"https://iiif.nypl.org/iiif/3/5131373/full/!760,760/0/default.jpg#xywh=684,2260,1518,70",0008_5131373.jpg
CONNECTICUT,Meriden,"Connecticut Breweries Co., Limited, Meriden Brewing Co.",141 South Colony st.,A L B,False,False,"https://iiif.nypl.org/iiif/3/5131373/full/!760,760/0/default.jpg#xywh=1198,2966,918,48",0008_5131373.jpg
CONNECTICUT,Bridgeport,"Connecticut Breweries Co., Limited, Wintter, A., & Co.",270 Housatonic ave.,A L B,False,False,"https://iiif.nypl.org/iiif/3/5131373/full/!760,760/0/default.jpg#xywh=684,2260,1518,70",0008_5131373.jpg
